order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,discount
10000,02/09/2022,02/16/2022,Standard Class,CUST-881,PD-272,10,0.0
10001,09/26/2020,09/26/2020,Same Day,CUST-260,PD-1501,12,0.0
10002,03/03/2022,03/06/2022,Second Class,CUST-173,PD-1126,8,0.0
10003,10/09/2023,10/13/2023,Standard Class,CUST-485,PD-1276,5,0.1
10004,07/30/2022,08/06/2022,Standard Class,CUST-695,PD-1159,1,0.0
10005,11/26/2021,11/29/2021,Second Class,CUST-757,PD-405,6,0.0
10006,05/01/2022,05/05/2022,Standard Class,CUST-55,PD-199,5,0.0
10007,11/28/2024,12/03/2024,Standard Class,CUST-198,PD-800,1,0.0
10008,11/03/2021,11/08/2021,Standard Class,CUST-914,PD-712,4,0.0
10009,09/08/2024,09/11/2024,Second Class,CUST-88,PD-743,6,0.0
10010,07/23/2020,07/28/2020,Standard Class,CUST-271,PD-1327,13,0.2
10011,04/14/2020,04/18/2020,Standard Class,CUST-462,PD-968,5,0.0
10012,02/06/2024,02/09/2024,Second Class,CUST-225,PD-844,4,0.0
10013,01/01/2021,01/06/2021,Standard Class,CUST-651,PD-936,6,0.0
10014,12/27/2023,01/02/2024,Standard Class,CUST-13,PD-68,14,0.0
10015,07/06/2021,07/09/2021,Second Class,CUST-340,PD-454,8,0.0
10016,03/29/2023,04/02/2023,Standard Class,CUST-7,PD-809,10,0.0
10017,04/24/2020,04/27/2020,Second Class,CUST-952,PD-629,6,0.1
10018,10/27/2024,10/31/2024,Standard Class,CUST-303,PD-1424,9,0.0
10019,08/18/2024,08/21/2024,Second Class,CUST-777,PD-73,8,0.0
10020,05/12/2020,05/18/2020,Standard Class,CUST-201,PD-971,7,0.0
10021,07/29/2022,08/02/2022,Standard Class,CUST-991,PD-748,13,0.0
10022,02/13/2021,02/20/2021,Standard Class,CUST-713,PD-281,3,0.0
10023,07/17/2024,07/20/2024,Second Class,CUST-628,PD-1542,13,0.1
10024,06/20/2021,06/23/2021,Second Class,CUST-900,PD-260,7,0.0
10025,06/16/2024,06/19/2024,Second Class,CUST-646,PD-401,2,0.0
10026,07/29/2020,08/05/2020,Standard Class,CUST-747,PD-1322,10,0.0
10027,03/08/2022,03/13/2022,Standard Class,CUST-118,PD-425,1,0.0
10028,05/06/2023,05/13/2023,Standard Class,CUST-884,PD-581,4,0.0
10029,04/01/2020,04/07/2020,Standard Class,CUST-612,PD-1096,4,0.1
10030,04/27/2021,05/01/2021,Standard Class,CUST-439,PD-518,4,0.3
10031,06/28/2024,07/05/2024,Standard Class,CUST-652,PD-1107,10,0.0
10032,03/12/2023,03/15/2023,Second Class,CUST-976,PD-1130,13,0.0
10033,01/06/2022,01/09/2022,Second Class,CUST-421,PD-7,8,0.2
10034,05/14/2023,05/21/2023,Standard Class,CUST-4,PD-1322,11,0.0
10035,03/24/2024,03/27/2024,Second Class,CUST-816,PD-389,12,0.0
10036,05/15/2021,05/20/2021,Standard Class,CUST-764,PD-1572,4,0.0
10037,06/13/2020,06/16/2020,Second Class,CUST-686,PD-331,2,0.0
10038,06/29/2021,07/02/2021,Second Class,CUST-21,PD-73,9,0.1
10039,07/17/2024,07/22/2024,Standard Class,CUST-459,PD-141,2,0.0
10040,03/03/2024,03/10/2024,Standard Class,CUST-442,PD-198,12,0.3
10041,11/25/2024,11/30/2024,Standard Class,CUST-424,PD-21,5,0.0
10042,01/24/2021,01/25/2021,First Class,CUST-242,PD-153,1,0.0
10043,07/14/2024,07/15/2024,First Class,CUST-430,PD-1155,14,0.0
10044,08/09/2022,08/16/2022,Standard Class,CUST-398,PD-1188,14,0.0
10045,09/16/2022,09/17/2022,First Class,CUST-619,PD-20,2,0.0
10046,03/29/2022,04/02/2022,Standard Class,CUST-18,PD-1335,9,0.0
10047,06/03/2023,06/06/2023,Second Class,CUST-719,PD-832,7,0.1
10048,05/03/2021,05/08/2021,Standard Class,CUST-60,PD-1533,8,0.1
10049,01/14/2020,01/21/2020,Standard Class,CUST-679,PD-454,5,0.1
10050,03/09/2022,03/15/2022,Standard Class,CUST-545,PD-242,9,0.0
10051,09/12/2023,09/17/2023,Standard Class,CUST-728,PD-1046,14,0.1
10052,08/30/2024,09/02/2024,Second Class,CUST-166,PD-466,2,0.3
10053,05/17/2020,05/23/2020,Standard Class,CUST-917,PD-1096,3,0.0
10054,08/30/2020,09/04/2020,Standard Class,CUST-39,PD-1206,7,0.0
10055,10/29/2022,11/01/2022,Second Class,CUST-450,PD-362,7,0.1
10056,03/12/2022,03/16/2022,Standard Class,CUST-661,PD-791,9,0.1
10057,01/06/2020,01/13/2020,Standard Class,CUST-701,PD-120,2,0.0
10058,09/13/2024,09/16/2024,Second Class,CUST-58,PD-1141,9,0.2
10059,10/08/2023,10/11/2023,Second Class,CUST-350,PD-208,13,0.0
10060,12/03/2020,12/08/2020,Standard Class,CUST-884,PD-476,2,0.2
10061,03/16/2022,03/22/2022,Standard Class,CUST-637,PD-823,14,0.0
10062,08/18/2023,08/23/2023,Standard Class,CUST-670,PD-1027,13,0.0
10063,10/30/2022,11/06/2022,Standard Class,CUST-161,PD-293,8,0.0
10064,01/12/2022,01/18/2022,Standard Class,CUST-164,PD-1144,10,0.0
10065,11/19/2021,11/22/2021,Second Class,CUST-515,PD-942,5,0.0
10066,01/20/2021,01/25/2021,Standard Class,CUST-11,PD-685,8,0.0
10067,06/23/2020,06/28/2020,Standard Class,CUST-955,PD-903,2,0.0
10068,10/29/2022,11/03/2022,Standard Class,CUST-582,PD-1198,6,0.0
10069,01/28/2020,01/31/2020,Second Class,CUST-501,PD-181,12,0.0
10070,07/01/2022,07/02/2022,First Class,CUST-188,PD-1224,7,0.0
10071,07/01/2020,07/05/2020,Standard Class,CUST-962,PD-1331,3,0.0
10072,11/19/2021,11/24/2021,Standard Class,CUST-517,PD-431,12,0.0
10073,10/09/2024,10/12/2024,Second Class,CUST-142,PD-7,2,0.0
10074,01/22/2022,01/28/2022,Standard Class,CUST-119,PD-118,10,0.0
10075,03/15/2021,03/18/2021,Second Class,CUST-976,PD-1364,4,0.0
10076,04/04/2020,04/07/2020,Second Class,CUST-609,PD-856,12,0.0
10077,05/31/2022,06/04/2022,Standard Class,CUST-561,PD-656,3,0.0
10078,10/26/2023,11/02/2023,Standard Class,CUST-511,PD-1223,14,0.0
10079,08/07/2020,08/14/2020,Standard Class,CUST-668,PD-1062,7,0.0
10080,07/23/2020,07/28/2020,Standard Class,CUST-968,PD-1218,6,0.0
10081,11/05/2024,11/11/2024,Standard Class,CUST-417,PD-1065,13,0.1
10082,09/25/2021,10/02/2021,Standard Class,CUST-186,PD-1502,9,0.4
10083,12/17/2023,12/20/2023,Second Class,CUST-712,PD-513,2,0.0
10084,10/24/2022,10/27/2022,Second Class,CUST-779,PD-1155,12,0.0
10085,09/13/2020,09/20/2020,Standard Class,CUST-539,PD-828,7,0.0
10086,03/24/2024,03/28/2024,Standard Class,CUST-627,PD-922,9,0.1
10087,06/24/2023,06/29/2023,Standard Class,CUST-197,PD-383,8,0.3
10088,02/06/2022,02/09/2022,Second Class,CUST-358,PD-1194,14,0.0
10089,10/17/2021,10/17/2021,Same Day,CUST-382,PD-1609,5,0.0
10090,08/14/2020,08/20/2020,Standard Class,CUST-601,PD-1063,12,0.2
10091,05/26/2022,05/31/2022,Standard Class,CUST-257,PD-1091,12,0.0
10092,07/21/2024,07/24/2024,Second Class,CUST-519,PD-1068,2,0.0
10093,06/19/2020,06/22/2020,Second Class,CUST-993,PD-878,12,0.4
10094,07/20/2020,07/25/2020,Standard Class,CUST-408,PD-693,5,0.0
10095,12/23/2021,12/30/2021,Standard Class,CUST-153,PD-717,7,0.0
10096,02/26/2023,03/05/2023,Standard Class,CUST-82,PD-776,9,0.0
10097,11/05/2022,11/08/2022,Second Class,CUST-219,PD-853,2,0.0
10098,12/19/2020,12/22/2020,Second Class,CUST-601,PD-262,2,0.0
10099,01/01/2022,01/04/2022,Second Class,CUST-301,PD-871,1,0.2
10100,09/12/2024,09/19/2024,Standard Class,CUST-887,PD-193,14,0.0
10101,07/31/2022,08/05/2022,Standard Class,CUST-595,PD-775,13,0.0
10102,07/28/2020,08/03/2020,Standard Class,CUST-287,PD-999,4,0.2
10103,01/28/2021,02/02/2021,Standard Class,CUST-201,PD-120,3,0.0
10104,09/08/2023,09/11/2023,Second Class,CUST-831,PD-110,12,0.0
10105,12/24/2022,12/25/2022,First Class,CUST-973,PD-225,10,0.2
10106,10/18/2021,10/22/2021,Standard Class,CUST-193,PD-730,6,0.1
10107,08/22/2024,08/25/2024,Second Class,CUST-536,PD-1576,9,0.2
10108,11/20/2020,11/23/2020,Second Class,CUST-432,PD-1315,10,0.0
10109,04/05/2022,04/09/2022,Standard Class,CUST-37,PD-1017,12,0.0
10110,09/26/2020,10/02/2020,Standard Class,CUST-144,PD-737,7,0.1
10111,02/23/2020,02/28/2020,Standard Class,CUST-130,PD-1365,2,0.0
10112,12/17/2022,12/24/2022,Standard Class,CUST-776,PD-518,3,0.1
10113,06/03/2022,06/04/2022,First Class,CUST-374,PD-498,12,0.0
10114,07/14/2020,07/17/2020,Second Class,CUST-654,PD-1551,8,0.0
10115,01/29/2024,02/04/2024,Standard Class,CUST-308,PD-924,5,0.0
10116,08/22/2024,08/29/2024,Standard Class,CUST-36,PD-1294,14,0.0
10117,10/13/2023,10/16/2023,Second Class,CUST-966,PD-654,10,0.0
10118,09/23/2020,09/29/2020,Standard Class,CUST-389,PD-316,14,0.0
10119,12/10/2021,12/16/2021,Standard Class,CUST-255,PD-894,1,0.2
10120,09/09/2023,09/12/2023,Second Class,CUST-556,PD-1290,11,0.0
10121,05/23/2020,05/26/2020,Second Class,CUST-386,PD-154,5,0.0
10122,07/01/2021,07/02/2021,First Class,CUST-50,PD-242,9,0.0
10123,05/03/2023,05/04/2023,First Class,CUST-602,PD-1534,11,0.0
10124,11/21/2020,11/22/2020,First Class,CUST-585,PD-468,10,0.0
10125,02/18/2023,02/21/2023,Second Class,CUST-270,PD-1426,5,0.2
10126,12/20/2023,12/24/2023,Standard Class,CUST-154,PD-1292,10,0.0
10127,02/09/2024,02/14/2024,Standard Class,CUST-614,PD-1261,7,0.0
10128,07/11/2020,07/14/2020,Second Class,CUST-53,PD-439,14,0.0
10129,07/29/2020,08/02/2020,Standard Class,CUST-309,PD-826,7,0.0
10130,01/14/2023,01/14/2023,Same Day,CUST-336,PD-711,6,0.1
10131,01/15/2020,01/18/2020,Second Class,CUST-727,PD-282,9,0.0
10132,07/04/2022,07/07/2022,Second Class,CUST-91,PD-1177,13,0.0
