product_id,product_name,category,sub_category,unit_price,cogs
PD-1,"Aguirre, Lamb and Morris orchestrate",Office Supplies,Binders,23.11,9.45
PD-2,"Robinson, Cole and Christian generate",Furniture,Bookcases,18.63,5.77
PD-3,"Miller, Hampton and Harris revolutionize",Office Supplies,Paper,7.39,3.07
PD-4,Foley-Rosario drive,Technology,Phones,27.99,10.75
PD-5,Moss-Hobbs embrace,Technology,Accessories,27.2,15.71
PD-6,Berry LLC harness,Office Supplies,Envelopes,13.77,6.31
PD-7,"Huynh, Vasquez and Chandler maximize",Technology,Accessories,24.88,5.49
PD-8,"Scott, Rodriguez and Arroyo synergize",Technology,Phones,24.4,10.01
PD-9,Cunningham-Williams synthesize,Office Supplies,Storage,29.14,7.25
PD-10,Evans-Bauer iterate,Furniture,Furnishings,4.88,2.39
PD-11,Garza Ltd brand,Office Supplies,Fasteners,24.8,9.5
PD-12,Johnson Inc matrix,Technology,Phones,29.26,9.46
PD-13,Taylor-Serrano envisioneer,Furniture,Chairs,17.21,7.8
PD-14,"Beck, Soto and Mcfarland evolve",Office Supplies,Envelopes,5.15,2.97
PD-15,Nguyen-Davis orchestrate,Technology,Accessories,23.97,7.46
PD-16,Sosa PLC unleash,Office Supplies,Envelopes,9.24,2.01
PD-17,"Cain, Miller and Huang innovate",Office Supplies,Paper,3.84,1.28
PD-18,Ballard and Sons embrace,Furniture,Furnishings,21.25,6.47
PD-19,Vasquez-Mitchell engage,Office Supplies,Envelopes,19.87,7.21
PD-20,Garcia-Harper re-intermediate,Technology,Phones,8.86,2.13
PD-21,Ortiz LLC target,Furniture,Chairs,11.29,2.43
PD-22,Torres-Williams matrix,Technology,Phones,9.45,2.17
PD-23,Willis-Garcia repurpose,Technology,Phones,4.53,1.56
PD-24,"Brown, Crawford and Thomas streamline",Furniture,Chairs,24.92,14.63
PD-25,"Arnold, Smith and Wolfe disintermediate",Furniture,Bookcases,10.84,5.72
PD-26,Baker Inc facilitate,Technology,Accessories,24.83,11.93
PD-27,Anderson Group exploit,Furniture,Bookcases,23.75,5.6
PD-28,"White, Gay and Jones revolutionize",Furniture,Bookcases,28.95,6.64
PD-29,"Mckee, Morgan and Duncan reinvent",Furniture,Bookcases,15.63,6.46
PD-30,Stewart Inc target,Furniture,Chairs,9.75,3.73
PD-31,"Berry, Medina and Cunningham incentivize",Technology,Accessories,21.74,7.99
PD-32,"Gaines, Bradford and Payne target",Technology,Accessories,14.12,3.43
PD-33,"Ortiz, Alexander and Phillips synthesize",Office Supplies,Envelopes,7.8,2.46
PD-34,Cherry-Boyer embrace,Technology,Accessories,16.23,7.65
PD-35,Moreno Ltd drive,Technology,Phones,14.43,8.35
PD-36,"Bishop, Morgan and Carter orchestrate",Furniture,Furnishings,10.33,3.51
PD-37,Austin and Sons matrix,Office Supplies,Art,14.58,5.52
PD-38,Lewis-Cardenas brand,Office Supplies,Paper,16.28,4.72
